ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2024-01-01,5,0.9,1,1,1
2024-01-02,196,0.9,2,1,1
2024-01-03,169,0.8999999999999999,3,1,1
2024-01-04,174,0.9,4,1,1
2024-01-05,147,0.9,5,1,1
2024-01-08,215,0.9,1,0,2
2024-01-09,170,0.9,2,0,2
2024-01-10,186,0.9,3,0,2
2024-01-11,163,0.9000000000000001,4,0,2
2024-01-12,98,0.9,5,0,2
2024-01-15,195,0.9,1,0,3
2024-01-16,187,0.9,2,0,3
2024-01-17,174,0.9,3,0,3
2024-01-18,137,0.9,4,0,3
2024-01-19,103,0.9,5,0,3
2024-01-22,185,0.9,1,0,4
2024-01-23,163,0.9000000000000001,2,0,4
2024-01-24,157,0.9,3,0,4
2024-01-25,133,0.9,4,0,4
2024-01-26,118,0.9,5,0,4
2024-01-29,165,0.9,1,0,5
2024-01-30,111,0.9,2,0,5
2024-01-31,119,0.9,3,0,5
2024-02-01,117,0.9,4,1,1
2024-02-02,96,0.9,5,1,1
2024-02-05,160,0.9,1,1,1
2024-02-06,143,0.9000000000000001,2,0,1
2024-02-07,123,0.9,3,0,1
2024-02-08,130,0.9,4,0,2
2024-02-09,80,0.9,5,0,2
2024-02-12,135,0.9,1,0,2
2024-02-13,133,0.9,2,0,2
2024-02-14,101,0.9,3,0,2
2024-02-15,124,0.9,4,0,3
2024-02-16,85,0.9,5,0,3
2024-02-19,205,0.9,1,0,3
2024-02-20,139,0.9,2,0,3
2024-02-21,140,0.9,3,0,3
2024-02-22,101,0.9,4,0,4
2024-02-23,124,0.9,5,0,4
2024-02-26,174,0.9,1,0,4
2024-02-27,155,0.9,2,0,4
2024-02-28,129,0.9,3,0,4
2024-02-29,140,0.9,4,0,5
2024-03-01,187,0.9,5,1,1
2024-03-04,174,0.9,1,1,1
2024-03-05,167,0.9,2,1,1
2024-03-06,190,0.9,3,0,1
2024-03-07,176,0.9,4,0,1
2024-03-08,165,0.9,5,0,2
2024-03-11,205,0.9,1,0,2
2024-03-12,194,0.9,2,0,2
2024-03-13,200,0.9,3,0,2
2024-03-14,174,0.9,4,0,2
2024-03-15,134,0.9,5,0,3
2024-03-18,215,0.9,1,0,3
2024-03-19,220,0.9,2,0,3
2024-03-20,180,0.9,3,0,3
2024-03-21,201,0.9,4,0,3
2024-03-22,205,0.9,5,0,4
2024-03-25,291,0.9000000000000001,1,0,4
2024-03-26,261,0.9,2,0,4
2024-03-27,213,0.9000000000000001,3,0,4
2024-03-28,204,0.9,4,0,4
2024-03-29,5,0.9,5,0,5
2024-04-01,266,0.9,1,1,1
2024-04-02,247,0.9,2,1,1
2024-04-03,233,0.9,3,1,1
2024-04-04,222,0.9,4,1,1
2024-04-05,182,0.9,5,1,1
2024-04-08,261,0.9,1,0,2
2024-04-09,259,0.9,2,0,2
2024-04-10,269,0.9,3,0,2
2024-04-11,185,0.9,4,0,2
2024-04-12,150,0.9,5,0,2
2024-04-15,213,0.9000000000000001,1,0,3
2024-04-16,186,0.9,2,0,3
2024-04-17,191,0.9,3,0,3
2024-04-18,207,0.9,4,0,3
2024-04-19,137,0.9,5,0,3
2024-04-22,205,0.9,1,0,4
2024-04-23,223,0.9,2,0,4
2024-04-24,216,0.9,3,0,4
2024-04-25,191,0.9,4,0,4
2024-04-26,176,0.9,5,0,4
2024-04-29,228,0.9,1,0,5
2024-04-30,193,0.9000000000000001,2,0,5
2024-05-01,8,0.9,3,1,1
2024-05-02,267,0.9,4,1,1
2024-05-03,187,0.9,5,1,1
2024-05-06,236,0.9,1,0,1
2024-05-07,200,0.9,2,0,1
2024-05-08,211,0.9,3,0,2
2024-05-09,203,0.9000000000000001,4,0,2
2024-05-10,154,0.8999999999999999,5,0,2
2024-05-13,241,0.9,1,0,2
2024-05-14,209,0.9,2,0,2
2024-05-15,248,0.9,3,0,3
2024-05-16,221,0.9,4,0,3
2024-05-17,145,0.9,5,0,3
2024-05-20,119,0.9,1,0,3
2024-05-21,3,0.9,2,0,3
2024-05-22,198,0.9000000000000001,3,0,4
2024-05-23,170,0.9,4,0,4
2024-05-24,143,0.9000000000000001,5,0,4
2024-05-27,252,0.9,1,0,4
2024-05-28,193,0.9000000000000001,2,0,4
2024-05-29,181,0.9,3,0,5
2024-05-30,198,0.9000000000000001,4,0,5
2024-05-31,145,0.9,5,0,5
2024-06-03,197,0.9,1,1,1
2024-06-04,198,0.9000000000000001,2,1,1
2024-06-05,183,0.9000000000000001,3,1,1
2024-06-06,190,0.9,4,0,1
2024-06-07,165,0.9,5,0,1
2024-06-10,218,0.9000000000000001,1,0,2
2024-06-11,198,0.9000000000000001,2,0,2
2024-06-12,229,0.9,3,0,2
2024-06-13,195,0.9,4,0,2
2024-06-14,192,0.9,5,0,2
2024-06-17,170,0.9,1,0,3
2024-06-18,223,0.9,2,0,3
2024-06-19,159,0.8999999999999999,3,0,3
2024-06-20,16,0.9,4,0,3
2024-06-21,172,0.9,5,0,3
2024-06-24,218,0.9000000000000001,1,0,4
2024-06-25,138,0.9,2,0,4
2024-06-26,168,0.9000000000000001,3,0,4
2024-06-27,146,0.9,4,0,4
2024-06-28,127,0.9,5,0,4
2024-07-01,235,0.9,1,1,1
2024-07-02,174,0.9,2,1,1
2024-07-03,170,0.9,3,1,1
2024-07-04,171,0.9,4,1,1
2024-07-05,121,0.9,5,1,1
2024-07-08,216,0.9,1,0,2
2024-07-09,186,0.9,2,0,2
2024-07-10,187,0.9,3,0,2
2024-07-11,204,0.9,4,0,2
2024-07-12,149,0.8999999999999999,5,0,2
2024-07-15,161,0.9,1,0,3
2024-07-16,18,0.8999999999999999,2,0,3
2024-07-17,217,0.9,3,0,3
2024-07-18,208,0.9000000000000001,4,0,3
2024-07-19,160,0.9,5,0,3
2024-07-22,268,0.9,1,0,4
2024-07-23,238,0.9,2,0,4
2024-07-24,192,0.9,3,0,4
2024-07-25,183,0.9000000000000001,4,0,4
2024-07-26,156,0.9,5,0,4
2024-07-29,237,0.9,1,0,5
2024-07-30,226,0.9,2,0,5
2024-07-31,214,0.9,3,0,5
2024-08-01,226,0.9,4,1,1
2024-08-02,212,0.9,5,1,1
2024-08-05,268,0.9,1,1,1
2024-08-06,226,0.9,2,0,1
2024-08-07,189,0.9,3,0,1
2024-08-08,245,0.9,4,0,2
2024-08-09,173,0.9000000000000001,5,0,2
2024-08-12,249,0.9,1,0,2
2024-08-13,251,0.9,2,0,2
2024-08-14,163,0.9000000000000001,3,0,2
2024-08-15,12,0.9,4,0,3
2024-08-16,164,0.8999999999999999,5,0,3
2024-08-19,270,0.9,1,0,3
2024-08-20,217,0.9,2,0,3
2024-08-21,170,0.9,3,0,3
2024-08-22,193,0.9000000000000001,4,0,4
2024-08-23,162,0.9,5,0,4
2024-08-26,247,0.9,1,0,4
2024-08-27,238,0.9,2,0,4
2024-08-28,202,0.9,3,0,4
2024-08-29,186,0.9,4,0,5
2024-08-30,166,0.9,5,0,5
2024-09-02,240,0.9,1,1,1
2024-09-03,209,0.9,2,1,1
2024-09-04,202,0.9,3,1,1
2024-09-05,175,0.9,4,1,1
2024-09-06,152,0.9,5,0,1
2024-09-09,210,0.9,1,0,2
2024-09-10,164,0.8999999999999999,2,0,2
2024-09-11,165,0.9,3,0,2
2024-09-12,127,0.9,4,0,2
2024-09-13,113,0.9,5,0,2
2024-09-16,143,0.9000000000000001,1,0,3
2024-09-17,76,0.9,2,0,3
2024-09-18,5,0.9,3,0,3
2024-09-19,1,0.9,4,0,3
2024-09-20,9,0.8999999999999999,5,0,3
2024-09-23,265,0.9,1,0,4
2024-09-24,210,0.9,2,0,4
2024-09-25,190,0.9,3,0,4
2024-09-26,183,0.9000000000000001,4,0,4
2024-09-27,142,0.9,5,0,4
2024-09-30,240,0.9,1,0,5
2024-10-01,186,0.9,2,1,1
2024-10-02,194,0.9,3,1,1
2024-10-03,176,0.9,4,1,1
2024-10-04,126,0.9,5,1,1
2024-10-07,183,0.9000000000000001,1,0,1
2024-10-08,220,0.9,2,0,2
2024-10-09,167,0.9,3,0,2
2024-10-10,177,0.9,4,0,2
2024-10-11,121,0.9,5,0,2
2024-10-14,212,0.9,1,0,2
2024-10-15,187,0.9,2,0,3
2024-10-16,194,0.9,3,0,3
2024-10-17,177,0.9,4,0,3
2024-10-18,161,0.9,5,0,3
2024-10-21,189,0.9,1,0,3
2024-10-22,202,0.9,2,0,4
2024-10-23,186,0.9,3,0,4
2024-10-24,187,0.9,4,0,4
2024-10-25,150,0.9,5,0,4
2024-10-28,196,0.9,1,0,4
2024-10-29,200,0.9,2,0,5
2024-10-30,136,0.9,3,0,5
2024-10-31,5,0.9,4,0,5
2024-11-01,6,0.9,5,1,1
2024-11-04,238,0.9,1,1,1
2024-11-05,231,0.9,2,1,1
2024-11-06,182,0.9,3,0,1
2024-11-07,192,0.9,4,0,1
2024-11-08,141,0.9,5,0,2
2024-11-11,189,0.9,1,0,2
2024-11-12,184,0.9,2,0,2
2024-11-13,173,0.9000000000000001,3,0,2
2024-11-14,148,0.9000000000000001,4,0,2
2024-11-15,176,0.9,5,0,3
2024-11-18,181,0.9,1,0,3
2024-11-19,160,0.9,2,0,3
2024-11-20,149,0.8999999999999999,3,0,3
2024-11-21,153,0.9000000000000001,4,0,3
2024-11-22,137,0.9,5,0,4
2024-11-25,185,0.9,1,0,4
2024-11-26,170,0.9,2,0,4
2024-11-27,164,0.8999999999999999,3,0,4
2024-11-28,163,0.9000000000000001,4,0,4
2024-11-29,106,0.9,5,0,5
2024-12-02,189,0.9,1,1,1
2024-12-03,180,0.9,2,1,1
2024-12-04,155,0.9,3,1,1
2024-12-05,171,0.9,4,1,1
2024-12-06,117,0.9,5,0,1
2024-12-09,187,0.9,1,0,2
2024-12-10,151,0.9,2,0,2
2024-12-11,169,0.8999999999999999,3,0,2
2024-12-12,125,0.9,4,0,2
2024-12-13,114,0.9,5,0,2
2024-12-16,148,0.9000000000000001,1,0,3
2024-12-17,128,0.9,2,0,3
2024-12-18,112,0.9,3,0,3
2024-12-19,131,0.9,4,0,3
2024-12-20,87,0.9,5,0,3
2024-12-23,105,0.9,1,0,4
2024-12-24,56,0.9,2,0,4
2024-12-25,3,0.9,3,0,4
2024-12-26,142,0.9,4,0,4
2024-12-27,142,0.9,5,0,4
2024-12-30,129,0.9,1,0,5
2024-12-31,67,0.9,2,0,5
2025-01-02,148,0.9000000000000001,4,1,1
2025-01-03,118,0.9,5,1,1
2025-01-06,200,0.9,1,0,1
2025-01-07,140,0.9,2,0,1
2025-01-08,164,0.8999999999999999,3,0,2
2025-01-09,165,0.9,4,0,2
2025-01-10,112,0.9,5,0,2
2025-01-13,150,0.9,1,0,2
2025-01-14,142,0.9,2,0,2
2025-01-15,125,0.9,3,0,3
2025-01-16,130,0.9,4,0,3
2025-01-17,142,0.9,5,0,3
2025-01-20,162,0.9,1,0,3
2025-01-21,149,0.8999999999999999,2,0,3
2025-01-22,148,0.9000000000000001,3,0,4
2025-01-23,101,0.9,4,0,4
2025-01-24,138,0.9,5,0,4
2025-01-27,135,0.9,1,0,4
2025-01-28,157,0.9,2,0,4
2025-01-29,157,0.9,3,0,5
2025-01-30,112,0.9,4,0,5
2025-01-31,97,0.9,5,0,5
2025-02-03,160,0.9,1,1,1
2025-02-04,96,0.9,2,1,1
2025-02-05,120,0.9,3,1,1
2025-02-06,105,0.9,4,0,1
2025-02-07,69,0.9,5,0,1
2025-02-10,130,0.9,1,0,2
2025-02-11,136,0.9,2,0,2
2025-02-12,109,0.9000000000000001,3,0,2
2025-02-13,103,0.9,4,0,2
2025-02-14,80,0.9,5,0,2
2025-02-17,126,0.9,1,0,3
2025-02-18,106,0.9,2,0,3
2025-02-19,123,0.9,3,0,3
2025-02-20,108,0.9,4,0,3
2025-02-21,112,0.9,5,0,3
