ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2024-10-21,457,0.9,1,0,3
2024-10-22,609,0.9,2,0,4
2024-10-23,703,0.9,3,0,4
2024-10-24,643,0.9,4,0,4
2024-10-25,559,0.9,5,0,4
2024-10-28,526,0.9,1,0,4
2024-10-29,487,0.9,2,0,5
2024-10-30,483,0.9,3,0,5
2024-11-04,455,0.9,1,1,1
2024-11-05,509,0.9,2,1,1
2024-11-06,359,0.9,3,0,1
2024-11-07,606,0.8999999999999999,4,0,1
2024-11-08,456,0.9,5,0,2
2024-11-11,537,0.9,1,0,2
2024-11-12,614,0.9,2,0,2
2024-11-13,640,0.9,3,0,2
2024-11-14,404,0.9,4,0,2
2024-11-15,510,0.9,5,0,3
2024-11-18,339,0.9,1,0,3
2024-11-19,544,0.9,2,0,3
2024-11-20,455,0.9,3,0,3
2024-11-21,375,0.9,4,0,3
2024-11-22,447,0.9,5,0,4
2024-11-25,394,0.9,1,0,4
2024-11-26,408,0.9,2,0,4
2024-11-27,502,0.9,3,0,4
2024-11-28,394,0.9,4,0,4
2024-11-29,377,0.9,5,0,5
2024-12-02,491,0.9,1,1,1
2024-12-03,404,0.9,2,1,1
2024-12-04,394,0.9,3,1,1
2024-12-05,468,0.9,4,1,1
2024-12-06,406,0.9000000000000001,5,0,1
2024-12-09,374,0.9,1,0,2
2024-12-10,493,0.9,2,0,2
2024-12-11,498,0.9,3,0,2
2024-12-12,341,0.9000000000000001,4,0,2
2024-12-13,392,0.9,5,0,2
2024-12-16,401,0.9000000000000001,1,0,3
2024-12-17,499,0.9,2,0,3
2024-12-18,354,0.9,3,0,3
2024-12-19,425,0.9,4,0,3
2024-12-20,308,0.8999999999999999,5,0,3
2024-12-23,347,0.9,1,0,4
2024-12-24,264,0.9,2,0,4
2024-12-26,391,0.9000000000000001,4,0,4
2024-12-27,394,0.9,5,0,4
2024-12-30,394,0.9,1,0,5
2024-12-31,210,0.9,2,0,5
2025-01-02,355,0.9,4,1,1
2025-01-03,380,0.9,5,1,1
2025-01-06,465,0.9,1,0,1
2025-01-07,438,0.9,2,0,1
2025-01-08,388,0.9,3,0,2
2025-01-09,429,0.9,4,0,2
2025-01-10,539,0.9,5,0,2
2025-01-13,429,0.9,1,0,2
2025-01-14,441,0.9,2,0,2
2025-01-15,645,0.9,3,0,3
2025-01-16,867,0.9000000000000001,4,0,3
2025-01-17,332,0.9,5,0,3
2025-01-20,273,0.9,1,0,3
2025-01-21,424,0.9,2,0,3
2025-01-22,294,0.9,3,0,4
2025-01-23,249,0.9,4,0,4
2025-01-24,315,0.9,5,0,4
2025-01-27,438,0.9,1,0,4
2025-01-28,362,0.9,2,0,4
2025-01-29,450,0.9,3,0,5
2025-01-30,462,0.9,4,0,5
2025-01-31,358,0.9,5,0,5
2025-02-03,417,0.9,1,1,1
2025-02-04,524,0.9,2,1,1
2025-02-05,532,0.9,3,1,1
2025-02-06,521,0.9,4,0,1
2025-02-07,352,0.9,5,0,1
2025-02-10,587,0.9000000000000001,1,0,2
2025-02-11,326,0.9000000000000001,2,0,2
2025-02-12,434,0.9,3,0,2
2025-02-13,443,0.9,4,0,2
2025-02-14,299,0.9,5,0,2
2025-02-17,395,0.9,1,0,3
2025-02-18,316,0.9000000000000001,2,0,3
2025-02-19,496,0.9,3,0,3
2025-02-20,377,0.9,4,0,3
2025-02-21,408,0.9,5,0,3
2025-02-24,448,0.9,1,0,4
2025-02-25,259,0.9,2,0,4
2025-02-26,530,0.9,3,0,4
2025-02-27,577,0.9000000000000001,4,0,4
2025-02-28,507,0.9,5,0,4
2025-03-03,459,0.9,1,1,1
2025-03-04,462,0.9,2,1,1
2025-03-05,425,0.9,3,1,1
2025-03-06,570,0.9,4,0,1
2025-03-07,377,0.9,5,0,1
2025-03-10,610,0.9,1,0,2
2025-03-11,469,0.9,2,0,2
2025-03-12,517,0.9,3,0,2
2025-03-13,526,0.9,4,0,2
2025-03-14,639,0.9,5,0,2
2025-03-17,375,0.9,1,0,3
2025-03-18,434,0.9,2,0,3
2025-03-19,410,0.9,3,0,3
2025-03-20,368,0.9,4,0,3
2025-03-21,394,0.9,5,0,3
2025-03-24,368,0.9,1,0,4
2025-03-25,457,0.9,2,0,4
2025-03-26,267,0.9,3,0,4
2025-03-27,399,0.9,4,0,4
2025-03-28,378,0.9,5,0,4
2025-03-31,413,0.9,1,0,5
2025-04-01,364,0.9,2,1,1
2025-04-02,393,0.9,3,1,1
2025-04-03,335,0.9,4,1,1
2025-04-04,442,0.9,5,1,1
2025-04-07,412,0.9,1,0,1
2025-04-08,409,0.9,2,0,2
2025-04-09,377,0.9,3,0,2
2025-04-10,362,0.9,4,0,2
2025-04-11,361,0.9000000000000001,5,0,2
2025-04-14,380,0.9,1,0,2
2025-04-15,448,0.9,2,0,3
2025-04-16,499,0.9,3,0,3
2025-04-17,440,0.9,4,0,3
2025-04-21,478,0.9,1,0,3
2025-04-22,443,0.9,2,0,4
2025-04-23,333,0.8999999999999999,3,0,4
2025-04-24,363,0.9,4,0,4
2025-04-25,325,0.9,5,0,4
2025-04-28,378,0.9,1,0,4
2025-04-29,412,0.9,2,0,5
2025-04-30,398,0.9,3,0,5
2025-05-02,379,0.9,5,1,1
2025-05-05,472,0.9,1,1,1
2025-05-06,459,0.9,2,0,1
2025-05-07,409,0.9,3,0,1
2025-05-08,422,0.9,4,0,2
2025-05-09,417,0.9,5,0,2
2025-05-12,550,0.9,1,0,2
2025-05-13,456,0.9,2,0,2
2025-05-14,474,0.9,3,0,2
2025-05-15,444,0.9,4,0,3
2025-05-16,351,0.9000000000000001,5,0,3
2025-05-19,454,0.9,1,0,3
2025-05-20,475,0.9,2,0,3
2025-05-22,352,0.9,4,0,4
2025-05-23,318,0.8999999999999999,5,0,4
2025-05-26,461,0.9,1,0,4
2025-05-27,449,0.9,2,0,4
2025-05-28,439,0.9,3,0,4
2025-05-29,487,0.9,4,0,5
2025-05-30,398,0.9,5,0,5
2025-06-02,420,0.9,1,1,1
2025-06-03,442,0.9,2,1,1
2025-06-04,367,0.9,3,1,1
2025-06-05,439,0.9,4,1,1
2025-06-06,400,0.9,5,0,1
2025-06-09,376,0.9000000000000001,1,0,2
2025-06-10,383,0.9,2,0,2
2025-06-11,360,0.9,3,0,2
2025-06-12,363,0.9,4,0,2
2025-06-13,403,0.9,5,0,2
2025-06-16,410,0.9,1,0,3
2025-06-17,443,0.9,2,0,3
2025-06-18,454,0.9,3,0,3
2025-06-19,514,0.9,4,0,3
2025-06-23,444,0.9,1,0,4
2025-06-24,367,0.9,2,0,4
2025-06-25,307,0.9,3,0,4
2025-06-26,413,0.9,4,0,4
2025-06-27,384,0.9,5,0,4
2025-06-30,363,0.9,1,0,5
2025-07-01,445,0.9,2,1,1
2025-07-02,429,0.9,3,1,1
2025-07-03,382,0.9,4,1,1
2025-07-04,486,0.9,5,1,1
2025-07-07,387,0.9,1,0,1
2025-07-08,406,0.9000000000000001,2,0,2
2025-07-09,328,0.8999999999999999,3,0,2
2025-07-10,452,0.9,4,0,2
2025-07-11,416,0.9000000000000001,5,0,2
2025-07-14,566,0.9,1,0,2
2025-07-15,461,0.9,2,0,3
